GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
labo4,aed,ListaEnlazada,0,244,0,20,0,73,0,21,0,11
labo4,aed,ListaEnlazada.ListaIterador,4,57,2,6,2,10,2,7,0,5
labo4,aed,ListaEnlazada.Nodo,0,9,0,0,0,3,0,1,0,1
